Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000356.1,40370000.0,108430000.0,67735000.0,68280000.0,,
Pbr000357.1,,,,,,
Pbr000358.1,,,,,,
Pbr000359.1,2519100000.0,5394600000.0,3833500000.0,2817500000.0,3002000000.0,2465200000.0
Pbr000362.1,449970000.0,133360000.0,76874000.0,190080000.0,137500000.0,297120000.0
Pbr000363.1,46716000000.0,40149000000.0,38887000000.0,34751000000.0,36343000000.0,48449000000.0
Pbr000365.1,76052000.0,84193000.0,,75828000.0,182560000.0,
Pbr000366.1,197250000.0,436020000.0,439650000.0,1178000000.0,1015700000.0,1255200000.0
Pbr000373.1,21931000000.0,18466000000.0,20247000000.0,19467000000.0,21274000000.0,25207000000.0
Pbr000374.1,14662000000.0,3367100000.0,2291400000.0,307500000.0,335330000.0,222350000.0
Pbr000378.1,,,,,,
Pbr000382.1,719420000.0,14624000.0,,35553000.0,1144400000.0,678220000.0
Pbr000383.1,,,,,73105000.0,84697000.0
Pbr000386.1,,,,,,
Pbr000389.1,,,,,,
Pbr000391.1,,,,,,
Pbr000392.1,908180000.0,1232500000.0,6475900000.0,18056000000.0,7328200000.0,17184000000.0
Pbr000398.1,,,57421000.0,,,
Pbr000399.1,,,,,,
Pbr000402.1,224010000.0,151410000.0,45120000.0,50253000.0,,77284000.0
Pbr000404.1,,,,,,
Pbr000405.1,,,,,,
Pbr000406.1,,,,,,83914000.0
Pbr000407.1,,346250000.0,244820000.0,134760000.0,,
Pbr000408.1,2018600000.0,3214400000.0,3322200000.0,2712500000.0,4231300000.0,3326600000.0
Pbr000410.1,56526000.0,239650000.0,108600000.0,94449000.0,,132690000.0
Pbr000411.1,,,,,,
Pbr000412.1,48391000.0,38359000.0,152970000.0,,,
Pbr000413.1,13612000000.0,15696000000.0,14062000000.0,11583000000.0,9013300000.0,7978100000.0
Pbr000418.1,44270000.0,477110000.0,675640000.0,2163300000.0,4585200000.0,4496300000.0
Pbr000419.1,,,,,,
Pbr000421.1,1050500000.0,1264700000.0,1117400000.0,1215100000.0,1576300000.0,555330000.0
Pbr000422.1,,,,,,
Pbr000424.1,227980000.0,248220000.0,197530000.0,183900000.0,60724000.0,
Pbr000426.1,,,,,86035000.0,
Pbr000428.1,,,,,,
Pbr000429.1,615180000.0,290400000.0,270280000.0,416090000.0,658650000.0,663810000.0
Pbr000431.1,611710000.0,1261300000.0,370420000.0,503070000.0,,
Pbr000437.1,,71266000.0,75023000.0,,,
Pbr000438.1,,,,,,
Pbr000439.1,,,,,,
Pbr000440.1,,,,,,
Pbr000441.1,396740000.0,647260000.0,99011000.0,512330000.0,,342600000.0
Pbr000442.1,,,,,,
Pbr000444.3,1734700000.0,1370000000.0,1245600000.0,650500000.0,1715300000.0,980380000.0
Pbr000445.1,,,,,,
Pbr000448.1,,,,,,
Pbr000449.1,153500000.0,432190000.0,220930000.0,211690000.0,103500000.0,75488000.0
Pbr000451.1,957420000.0,719070000.0,591100000.0,936250000.0,1203300000.0,947240000.0
Pbr000452.1,762020000.0,427690000.0,311310000.0,56477000.0,,
Pbr000461.1,15735000000.0,19503000000.0,24809000000.0,15761000000.0,14951000000.0,8132000000.0
Pbr000464.1,,148950000.0,,,,
Pbr000466.1,,,,,,
Pbr000468.1,236850000.0,,,,,
Pbr000470.1,,,,,,
Pbr000472.1,37912000.0,89027000.0,41062000.0,,57798000.0,
Pbr000479.1,,152190000.0,133240000.0,116150000.0,,197430000.0
Pbr000487.1,896690000.0,960590000.0,1177100000.0,1653400000.0,1010000000.0,1466000000.0
Pbr000488.1,13335000000.0,16493000000.0,17601000000.0,25369000000.0,25167000000.0,21064000000.0
Pbr000489.1,,,43734000.0,,,
Pbr000490.1,1439900000.0,910040000.0,1003700000.0,1546000000.0,2238200000.0,1365900000.0
Pbr000492.1,407120000.0,654710000.0,861860000.0,398660000.0,379760000.0,467930000.0
Pbr000493.1,794050000.0,460840000.0,471290000.0,283380000.0,,
Pbr000496.1,,,137350000.0,115150000.0,364530000.0,170800000.0
Pbr000498.1,2521400000.0,1944400000.0,1348800000.0,3448000000.0,3870700000.0,4296100000.0
Pbr000502.1,,,,,,
Pbr000505.2,,,,,,
Pbr000507.1,63680000.0,40483000.0,60893000.0,37259000.0,,23585000.0
Pbr000508.1,326050000.0,275040000.0,114270000.0,40336000.0,31032000.0,
Pbr000511.1,,,,,,
Pbr000514.1,,18652000.0,,,,
Pbr000515.1,52838000000.0,52678000000.0,51012000000.0,53515000000.0,10736000000.0,27077000000.0
Pbr000516.3,1156700000.0,997520000.0,961300000.0,553980000.0,,151260000.0
Pbr000517.1,542250000.0,821910000.0,206610000.0,847050000.0,1364900000.0,1005800000.0
Pbr000518.1,268460000.0,1479300000.0,364860000.0,,,
Pbr000519.2,111210000.0,,64648000.0,82886000.0,,56570000.0
Pbr000523.1,,,,,,
Pbr000524.1,187900000.0,1216100000.0,1137700000.0,1974800000.0,1350100000.0,1388500000.0
Pbr000526.1,6109100000.0,4517100000.0,5092600000.0,6217700000.0,4608000000.0,4126300000.0
Pbr000528.2,10158000000.0,6416800000.0,5341300000.0,3724500000.0,2665400000.0,2628300000.0
Pbr000530.1,1149100000.0,2242400000.0,1525600000.0,1361300000.0,1228200000.0,2109700000.0
Pbr000531.1,,123880000.0,,,,
Pbr000534.1,,212980000.0,180900000.0,168930000.0,225690000.0,110980000.0
Pbr000536.1,82471000.0,101220000.0,,,,
Pbr000538.1,,43828000.0,56642000.0,49132000.0,,45721000.0
Pbr000540.1,60088000.0,70200000.0,34720000.0,,,35048000.0
Pbr000541.1,489230000.0,358890000.0,280540000.0,381280000.0,173060000.0,
