Gene,nnpredresult,baggingpredresult,lrpredresult,svmpredresult,xgbpredresult
Pbr035914.1,0.6768049657344818,0.6613333333333332,0.6579177456473639,0.7314025541258695,0.6001602321863174
Pbr034363.1,0.3542295292019844,0.29416666666666674,0.40255598113171587,0.3225765082911778,0.34339748304337264
Pbr038134.1,0.44446696937084196,0.17033333333333336,0.4617634801372616,0.47557648153895793,0.273418290540576
Pbr022792.1,0.37676966935396194,0.35366666666666663,0.4344495470465007,0.3311561704579643,0.3638907028362155
Pbr030358.1,0.6257582798600196,0.6436666666666666,0.5495649082697895,0.5669353028036807,0.6057796031236649
Pbr010310.1,0.5311910226941109,0.5438333333333334,0.5619440564927328,0.6264068817270325,0.47351764887571335
Pbr033313.1,0.6433027237653732,0.5858333333333334,0.5423303240761032,0.525175349210937,0.5574254885315895
Pbr032833.1,0.3536375969648361,0.263,0.43565964117710154,0.37268587073473236,0.25213585142046213
Pbr033251.1,0.2714651420712471,0.14616666666666672,0.35283708042845663,0.23494660438579892,0.26762002827599646
Pbr001666.3,0.7165506720542908,0.681,0.6591379371364253,0.7519913775645435,0.5412467315793037
Pbr030000.1,0.38225846737623215,0.2853333333333333,0.4113601615437023,0.33000474422397835,0.33647540882229804
Pbr003862.1,0.25114353746175766,0.08716666666666668,0.3373211577884122,0.2295441573189027,0.24543332108296453
Pbr038746.1,0.6320276945829392,0.6993333333333335,0.6385163267634741,0.7011823350043748,0.7477671265602112
Pbr039442.1,0.3671581715345383,0.3728333333333333,0.38285269998499066,0.322577808682709,0.5294493719935417
Pbr007314.2,0.5255965664982796,0.6986666666666667,0.5381970299051467,0.5298295575457113,0.6948608785867691
Pbr038078.1,0.7318082973361015,0.6431666666666666,0.6200109095494897,0.6592799828643836,0.6992884010076523
Pbr010154.1,0.3380271777510643,0.41150000000000003,0.37961301216310145,0.3102190278461793,0.37524537071585656
Pbr004413.1,0.27292510122060776,0.14250000000000004,0.3737704529121951,0.2912504623226324,0.26642161421477795
Pbr013125.1,0.5819664761424065,0.585,0.5988762069263832,0.614229090768739,0.4616505816578865
Pbr013644.1,0.9049622178077698,0.7695,0.8629853996909944,0.819647035719837,0.7501226305961609
Pbr002971.1,0.5590786978602409,0.6349999999999999,0.5264272374567232,0.6642714090025872,0.7295519083738327
Pbr031228.1,0.2514109253883362,0.1821666666666667,0.3262573996550186,0.22478838572722343,0.2644752320367843
Pbr037483.1,0.6493830233812332,0.7848333333333335,0.658764103419224,0.7461682602741766,0.7401664480566978
Pbr030045.1,0.6215569376945496,0.7024999999999999,0.6320075366302437,0.7486003516005288,0.7330538690090179
Pbr026469.1,0.8355007827281952,0.7348333333333336,0.762583693625735,0.8098928764362736,0.7380278795957566
Pbr041539.1,0.5332060292363167,0.5451666666666667,0.605920895835063,0.6290589791329773,0.5820357516407967
Pbr014739.1,0.2008333683013916,0.26400000000000007,0.29482360660296175,0.2774458593997728,0.26724362979875876
